"TIME_RECEIVED"	"QUANTITY"	"BRAND_ID"
2018-10-01T07:12:00.0000000Z	12	1
2018-10-01T07:15:00.0000000Z	45	2
2018-10-02T07:17:00.0000000Z	67	3
2018-10-02T07:14:00.0000000Z	35	4
2018-10-03T07:12:00.0000000Z	57	5
2018-10-03T07:13:00.0000000Z	23	6
2018-10-04T07:18:00.0000000Z	13	7
2018-10-04T08:01:00.0000000Z	87	1
2018-10-05T07:02:00.0000000Z	45	2
2018-10-05T07:03:00.0000000Z	23	3
2018-10-06T07:04:00.0000000Z	15	4
2018-10-06T07:05:00.0000000Z	98	5
2018-10-07T07:06:00.0000000Z	01	6
2018-10-07T07:07:00.0000000Z	67	7
2018-10-07T07:08:00.0000000Z	45	1
2018-10-08T07:09:00.0000000Z	34	2
2018-10-08T07:10:00.0000000Z	23	3
2018-10-08T07:01:00.0000000Z	76	4
2018-10-09T07:02:00.0000000Z	23	5
2018-10-10T07:03:00.0000000Z	56	6
2018-10-11T07:04:00.0000000Z	34	7
2018-10-12T07:05:00.0000000Z	98	1
2018-10-12T07:06:00.0000000Z	26	2
2018-10-13T07:07:00.0000000Z	84	3
2018-10-13T07:08:00.0000000Z	56	4
2018-10-14T07:09:00.0000000Z	16	5
2018-10-15T07:01:00.0000000Z	29	6
2018-10-16T07:02:00.0000000Z	49	7
2018-10-17T07:03:00.0000000Z	16	1
2018-10-18T07:04:00.0000000Z	45	2
2018-10-19T07:05:00.0000000Z	34	3
2018-10-20T07:06:00.0000000Z	12	4
2018-10-21T07:07:00.0000000Z	78	5
2018-10-22T07:08:00.0000000Z	45	6
2018-10-22T07:09:00.0000000Z	34	7
2018-10-23T07:20:00.0000000Z	16	1
2018-10-24T07:21:00.0000000Z	28	2
2018-10-25T07:22:00.0000000Z	45	3
2018-10-26T07:22:00.0000000Z	23	4
2018-10-27T07:21:00.0000000Z	28	5
2018-10-28T07:20:00.0000000Z	94	6
2018-10-29T07:01:00.0000000Z	84	7
2018-10-29T07:02:00.0000000Z	54	1
2018-10-22T07:03:00.0000000Z	23	2
2018-10-29T07:04:00.0000000Z	75	3
2018-10-29T07:05:00.0000000Z	12	4
2018-10-29T07:06:00.0000000Z	00	5
2018-10-29T07:07:00.0000000Z	34	6
2018-10-29T07:08:00.0000000Z	67	7
2018-10-30T07:09:00.0000000Z	72	1
